locality,area,cost
Kengeri,1405 - 1575,₹51.99 L - 58.28 L
Mysore Road,737 - 802,₹28 L - 30.47 L
Electronic City,1217 - 1271,₹76.49 L Onwards
Jalahalli,1045 - 1247,₹77.06 L Onwards
Kaggadasapura,1152 - 1153,₹36.86 L - 36.9 L
9th Phase JP Nagar,1164.68 - 1466.13,₹71.39 L Onwards
Chandapura,630,₹17.53 L
Devanahalli,1500 - 2400,₹58.5 L - 93.6 L
Kadugodi,1261 - 1386,₹48.55 L - 53.36 L
Ramamurthy Nagar,1256 - 1503,₹52.44 L - 62.75 L
Electronic City,530 - 575,₹10.71 L - 11.62 L
Avalahalli,884 - 930,₹62.91 L - 66.18 L
Bhoganhalli,1215 - 1600,₹48.59 L - 63.98 L
Attibele,1075 - 1210,₹29.03 L - 32.67 L
Chikka Tirupathi,850,₹33.01 L
Hennur Road,860,₹63.98 L
Hennur Road,1106 - 1271,₹61.79 L Onwards
Balagere,1300 - 1545,₹46.22 L - 54.92 L
Uttarahalli,1002 - 1065,₹37.07 L - 39.41 L
Chandapura,885 - 1015,₹24.62 L - 28.24 L
Kengeri,1015 - 1333,₹40.6 L - 53.32 L
Sarjapur,625 - 745,₹20.2 L - 24.08 L
Devanahalli,1200 - 2400,₹38.4 L - 76.8 L
Devanahalli,1200,₹15 L
Hormavu,1502 - 1750,₹69.09 L - 80.5 L
Begur Road,1583 - 1634,₹94.84 L Onwards
Bannerghatta Road,1348 - 1385,₹89.99 L Onwards
Tumkur Road,1239 - 1246,₹80.11 L Onwards
Tumkur Road,1240 - 1416,₹76.97 L Onwards
Hennur Road,760,₹58 L
Kanakpura Road,1419,₹56.05 L
Byatarayanapura,456,₹55 L
Bannerghatta Road,1375 - 1487,₹60.43 L - 65.35 L
Attibele,650 - 656,₹18 L - 18.16 L
Harlur,1230,₹86.99 L
Thanisandra,1160 - 1287,₹40.6 L - 45.05 L
KR Puram,1025 - 1305,₹45 L - 57.29 L
Devanahalli,1162 - 2400,₹29.04 L - 59.98 L
IVC Road,1200 - 4000,₹11.7 L - 39 L
Hoskote,1200 - 1500,₹20.39 L - 25.49 L
Hosur Road,1080 - 1220,₹45.36 L - 51.24 L
Iblur Village,3596,₹2.88 Cr
Harlur,853,₹49.39 L
S,1200,₹46.01 L
Raja Rajeshwari Nagar,1325 - 1525,₹66.24 L - 76.23 L
Attibele,590 - 765,₹20.64 L - 26.77 L
Iblur Village,4239 - 5384,₹3.39 Cr - 4.31 Cr
Hormavu,1114 - 1454,₹66.67 L Onwards
